filename,x,y,z,r,timestamp
d:\Povilas\GIT_DOBOT\DOBOT_MG400_povilas\DEMOS\robot_02\calibration_images\session_20250624_033750\image001.jpg,330.00,0.00,0.00,0.00,20250624_033753_252
d:\Povilas\GIT_DOBOT\DOBOT_MG400_povilas\DEMOS\robot_02\calibration_images\session_20250624_033750\image002.jpg,380.00,-40.00,0.00,0.00,20250624_033755_339
d:\Povilas\GIT_DOBOT\DOBOT_MG400_povilas\DEMOS\robot_02\calibration_images\session_20250624_033750\image003.jpg,355.00,-40.00,0.00,0.00,20250624_033756_842
d:\Povilas\GIT_DOBOT\DOBOT_MG400_povilas\DEMOS\robot_02\calibration_images\session_20250624_033750\image004.jpg,330.00,-40.00,0.00,0.00,20250624_033758_330
d:\Povilas\GIT_DOBOT\DOBOT_MG400_povilas\DEMOS\robot_02\calibration_images\session_20250624_033750\image005.jpg,305.00,-40.00,0.00,0.00,20250624_033759_837
d:\Povilas\GIT_DOBOT\DOBOT_MG400_povilas\DEMOS\robot_02\calibration_images\session_20250624_033750\image006.jpg,280.00,-40.00,0.00,0.00,20250624_033801_338
d:\Povilas\GIT_DOBOT\DOBOT_MG400_povilas\DEMOS\robot_02\calibration_images\session_20250624_033750\image007.jpg,280.00,0.00,0.00,0.00,20250624_033803_145
d:\Povilas\GIT_DOBOT\DOBOT_MG400_povilas\DEMOS\robot_02\calibration_images\session_20250624_033750\image008.jpg,305.00,0.00,0.00,0.00,20250624_033804_634
d:\Povilas\GIT_DOBOT\DOBOT_MG400_povilas\DEMOS\robot_02\calibration_images\session_20250624_033750\image009.jpg,330.00,0.00,0.00,0.00,20250624_033806_139
d:\Povilas\GIT_DOBOT\DOBOT_MG400_povilas\DEMOS\robot_02\calibration_images\session_20250624_033750\image010.jpg,355.00,0.00,0.00,0.00,20250624_033807_624
d:\Povilas\GIT_DOBOT\DOBOT_MG400_povilas\DEMOS\robot_02\calibration_images\session_20250624_033750\image011.jpg,380.00,0.00,0.00,0.00,20250624_033809_131
d:\Povilas\GIT_DOBOT\DOBOT_MG400_povilas\DEMOS\robot_02\calibration_images\session_20250624_033750\image012.jpg,380.00,40.00,0.00,0.00,20250624_033810_936
d:\Povilas\GIT_DOBOT\DOBOT_MG400_povilas\DEMOS\robot_02\calibration_images\session_20250624_033750\image013.jpg,355.00,40.00,0.00,0.00,20250624_033812_438
d:\Povilas\GIT_DOBOT\DOBOT_MG400_povilas\DEMOS\robot_02\calibration_images\session_20250624_033750\image014.jpg,330.00,40.00,0.00,0.00,20250624_033813_931
d:\Povilas\GIT_DOBOT\DOBOT_MG400_povilas\DEMOS\robot_02\calibration_images\session_20250624_033750\image015.jpg,305.00,40.00,0.00,0.00,20250624_033815_435
d:\Povilas\GIT_DOBOT\DOBOT_MG400_povilas\DEMOS\robot_02\calibration_images\session_20250624_033750\image016.jpg,280.00,40.00,0.00,0.00,20250624_033816_939
